City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Dingle,PH,10.9995,122.6711,75.4,94,100,6.89,overcast clouds
217,Livingstonia,MW,-10.606,34.1063,70.79,55,100,1.61,overcast clouds
218,La Ronge,CA,55.1001,-105.2842,12.45,85,100,8.05,light snow
219,Yulara,AU,-25.2406,130.9889,72.34,52,19,3.85,few clouds
220,Katherine,AU,-14.4667,132.2667,82.72,61,81,5.75,broken clouds
221,Loknya,RU,56.83,30.1467,47.43,87,100,8.48,overcast clouds
222,Borogontsy,RU,62.6683,131.1683,-11.99,96,100,4.07,overcast clouds
223,Zunheboto,IN,25.9667,94.5167,52.3,95,11,2.91,few clouds
224,Xuddur,SO,4.1213,43.8894,77.14,64,45,4.92,light rain
225,Ilulissat,GL,69.2167,-51.1,-10.84,80,8,6.73,clear sky
226,Frontera Comalapa,MX,15.65,-92.1333,80.1,67,32,3.6,light rain
227,Stavtrup,DK,56.1312,10.1199,55.26,84,100,14.43,overcast clouds
228,Urengoy,RU,65.9667,78.3667,17.98,96,100,5.39,overcast clouds
229,Chhabra,IN,24.6667,76.8333,76.17,36,99,8.03,overcast clouds
230,Husavik,IS,66.0449,-17.3389,40.12,94,100,16.71,overcast clouds
231,Broome,US,42.2506,-75.833,52.68,38,0,4.0,clear sky
232,Alyangula,AU,-13.8483,136.4192,81.81,77,18,8.34,few clouds
233,Dondo,MZ,-19.6094,34.7431,75.72,87,100,7.56,light rain
234,Xingyi,CN,24.1877,102.817,48.29,91,0,1.25,clear sky
235,Kalmunai,LK,7.4167,81.8167,76.14,91,100,7.14,very heavy rain
236,Hasaki,JP,35.7333,140.8333,48.22,54,2,9.37,clear sky
237,Zhanaozen,KZ,43.3,52.8,39.45,59,100,13.98,overcast clouds
238,Lavrentiya,RU,65.5833,-171.0,24.08,93,100,7.36,light snow
239,Mackay,AU,-21.15,149.2,66.69,70,9,14.67,clear sky
240,Dakar,SN,14.6937,-17.4441,83.28,83,0,2.3,clear sky
241,Kodiak,US,57.79,-152.4072,42.31,100,100,13.8,mist
242,Balabac,PH,7.9868,117.0645,81.03,80,100,6.15,overcast clouds
243,Aswan,EG,24.0934,32.907,72.7,33,0,3.44,clear sky
244,Comodoro Rivadavia,AR,-45.8667,-67.5,82.26,21,40,19.57,scattered clouds
245,Kamensk-Shakhtinskiy,RU,48.3178,40.2595,37.44,87,38,4.45,scattered clouds
246,Karachi,PK,24.9056,67.0822,73.22,78,0,4.61,smoke
247,Te Anau,NZ,-45.4167,167.7167,51.37,89,100,2.53,overcast clouds
